Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
success_checkout,Firefox 129.0,,,2024-08-26 18:31:31,2024-08-26 18:31:47,15.863s,PASSED
,,,,,,,
Test Cases/login_valid_credential,Firefox 129.0,,,2024-08-26 18:31:32,2024-08-26 18:31:41,9.107s,PASSED
"openBrowser("""")",Firefox 129.0,,,2024-08-26 18:31:32,2024-08-26 18:31:37,4.694s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 129.0,,,2024-08-26 18:31:37,2024-08-26 18:31:38,0.919s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Firefox 129.0,,,2024-08-26 18:31:38,2024-08-26 18:31:39,1.539s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Firefox 129.0,,,2024-08-26 18:31:39,2024-08-26 18:31:40,0.456s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Firefox 129.0,,,2024-08-26 18:31:40,2024-08-26 18:31:40,0.770s,PASSED
"takeScreenshot(""Screenshots/Login_Valid.png"")",Firefox 129.0,,,2024-08-26 18:31:40,2024-08-26 18:31:41,0.415s,PASSED
,,,,,,,
Test Cases/add_product,Firefox 129.0,,,2024-08-26 18:31:41,2024-08-26 18:31:43,2.149s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart""))",Firefox 129.0,,,2024-08-26 18:31:41,2024-08-26 18:31:41,0.503s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart_1""))",Firefox 129.0,,,2024-08-26 18:31:41,2024-08-26 18:31:42,0.482s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_2""))",Firefox 129.0,,,2024-08-26 18:31:42,2024-08-26 18:31:42,0.502s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Swag Labs/div_1Sauce Labs Backpackcarry.allTheThings(_948477""), 0)",Firefox 129.0,,,2024-08-26 18:31:42,2024-08-26 18:31:43,0.271s,PASSED
"takeScreenshot(""Screenshots/AddProductToCart.png"")",Firefox 129.0,,,2024-08-26 18:31:43,2024-08-26 18:31:43,0.308s,PASSED
,,,,,,,
Test Cases/checkout,Firefox 129.0,,,2024-08-26 18:31:43,2024-08-26 18:31:47,4.380s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Checkout""))",Firefox 129.0,,,2024-08-26 18:31:43,2024-08-26 18:31:43,0.490s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_firstName""), ""Laurensia"")",Firefox 129.0,,,2024-08-26 18:31:43,2024-08-26 18:31:44,0.540s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_lastName""), ""Testing"")",Firefox 129.0,,,2024-08-26 18:31:44,2024-08-26 18:31:45,0.740s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_postalCode""), ""97762"")",Firefox 129.0,,,2024-08-26 18:31:45,2024-08-26 18:31:45,0.748s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Cancel_continue""))",Firefox 129.0,,,2024-08-26 18:31:45,2024-08-26 18:31:46,0.716s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Finish""))",Firefox 129.0,,,2024-08-26 18:31:46,2024-08-26 18:31:47,0.511s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Swag Labs/div_Thank you for your orderYour order has _f1f997""))",Firefox 129.0,,,2024-08-26 18:31:47,2024-08-26 18:31:47,0.287s,PASSED
"takeScreenshot(""Screenshots/CheckoutProcess.png"")",Firefox 129.0,,,2024-08-26 18:31:47,2024-08-26 18:31:47,0.279s,PASSED
